# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
336           	8.548575e-02	1.599727e-02	2.653772e-02
337           	8.268809e-02	1.570110e-02	2.595436e-02
338           	8.078874e-02	1.543565e-02	2.542641e-02
339           	7.869813e-02	1.521221e-02	2.500281e-02
340           	7.627297e-02	1.495237e-02	2.462122e-02
341           	7.374399e-02	1.472320e-02	2.436221e-02
342           	7.142977e-02	1.453056e-02	2.421269e-02
343           	6.850649e-02	1.433586e-02	2.417739e-02
344           	6.618904e-02	1.417575e-02	2.419451e-02
345           	6.539628e-02	1.402140e-02	2.435197e-02
346           	6.350102e-02	1.388732e-02	2.456123e-02
347           	6.261190e-02	1.376576e-02	2.475438e-02
348           	6.326291e-02	1.364438e-02	2.496484e-02
349           	6.386955e-02	1.354826e-02	2.513207e-02
350           	6.593671e-02	1.343719e-02	2.531536e-02
351           	6.815844e-02	1.333609e-02	2.548970e-02
352           	7.030219e-02	1.325042e-02	2.564137e-02
353           	7.303603e-02	1.317158e-02	2.574180e-02
354           	7.497450e-02	1.311061e-02	2.583383e-02
355           	7.797956e-02	1.304340e-02	2.593977e-02
356           	8.129225e-02	1.300461e-02	2.599541e-02
357           	8.501717e-02	1.296301e-02	2.604587e-02
358           	8.872483e-02	1.293913e-02	2.611528e-02
359           	9.204381e-02	1.293903e-02	2.616730e-02
360           	9.522749e-02	1.295306e-02	2.626237e-02
361           	9.608849e-02	1.298939e-02	2.637811e-02
362           	9.889881e-02	1.302903e-02	2.651964e-02
363           	1.028727e-01	1.310538e-02	2.677807e-02
364           	1.032769e-01	1.322667e-02	2.719968e-02
365           	1.023149e-01	1.335344e-02	2.769743e-02
366           	1.015615e-01	1.348669e-02	2.823900e-02
367           	1.010569e-01	1.361884e-02	2.882389e-02
368           	1.020611e-01	1.379321e-02	2.945842e-02
369           	1.035789e-01	1.399681e-02	3.016618e-02
370           	1.053271e-01	1.422919e-02	3.089795e-02
371           	1.076942e-01	1.449236e-02	3.154026e-02
372           	1.095783e-01	1.477702e-02	3.209262e-02
373           	1.119688e-01	1.507607e-02	3.254189e-02
374           	1.134821e-01	1.541135e-02	3.290620e-02
375           	1.148927e-01	1.577429e-02	3.319096e-02
376           	1.150250e-01	1.617268e-02	3.341862e-02
377           	1.144766e-01	1.658242e-02	3.356393e-02
378           	1.137055e-01	1.703370e-02	3.365572e-02
379           	1.126956e-01	1.748096e-02	3.370658e-02
380           	1.120677e-01	1.793674e-02	3.373704e-02
381           	1.111298e-01	1.838673e-02	3.372752e-02
382           	1.105076e-01	1.883488e-02	3.371781e-02
383           	1.094996e-01	1.929560e-02	3.371858e-02
384           	1.095574e-01	1.972746e-02	3.371068e-02
385           	1.101085e-01	2.014349e-02	3.372833e-02
386           	1.110443e-01	2.058560e-02	3.366777e-02
387           	1.123394e-01	2.101115e-02	3.362429e-02
388           	1.128904e-01	2.140928e-02	3.354790e-02
389           	1.133418e-01	2.180606e-02	3.349178e-02
390           	1.138336e-01	2.222243e-02	3.344341e-02
391           	1.148662e-01	2.262608e-02	3.347214e-02
392           	1.155577e-01	2.303514e-02	3.355409e-02
393           	1.166612e-01	2.344776e-02	3.367763e-02
394           	1.180489e-01	2.387718e-02	3.386550e-02
395           	1.205387e-01	2.432385e-02	3.409794e-02
396           	1.219005e-01	2.476377e-02	3.437920e-02
397           	1.228787e-01	2.520450e-02	3.464975e-02
398           	1.244562e-01	2.560817e-02	3.490440e-02
399           	1.313599e-01	2.607080e-02	3.522661e-02
400           	1.417040e-01	2.649965e-02	3.545765e-02
401           	1.519566e-01	2.705762e-02	3.567548e-02
402           	1.596385e-01	2.761933e-02	3.583298e-02
403           	1.672988e-01	2.805720e-02	3.582261e-02
404           	1.737688e-01	2.848168e-02	3.572785e-02
405           	1.935172e-01	2.901208e-02	3.577041e-02
406           	2.052512e-01	2.961049e-02	3.581716e-02
407           	2.004467e-01	2.997978e-02	3.533925e-02
408           	2.271216e-01	3.031341e-02	3.477501e-02
409           	2.183857e-01	3.097505e-02	3.436926e-02
410           	1.995366e-01	3.118855e-02	3.352687e-02
411           	2.020576e-01	3.131448e-02	3.280766e-02
412           	1.946471e-01	3.158595e-02	3.216187e-02
413           	1.980049e-01	3.173070e-02	3.163079e-02
414           	1.908219e-01	3.180644e-02	3.132545e-02
415           	1.883234e-01	3.182509e-02	3.088362e-02
416           	1.855363e-01	3.170097e-02	3.042335e-02
417           	1.832492e-01	3.151993e-02	2.998034e-02
418           	1.811925e-01	3.125924e-02	2.958947e-02
419           	1.743350e-01	3.093929e-02	2.938484e-02
420           	1.706303e-01	3.060421e-02	2.924371e-02
421           	1.660855e-01	3.022141e-02	2.913258e-02
422           	1.639531e-01	2.980522e-02	2.906535e-02
423           	1.606327e-01	2.929078e-02	2.910070e-02
424           	1.566535e-01	2.873461e-02	2.916668e-02
425           	1.524046e-01	2.814681e-02	2.934888e-02
426           	1.499616e-01	2.756798e-02	2.955197e-02
427           	1.477878e-01	2.703193e-02	2.976673e-02
428           	1.475417e-01	2.649128e-02	3.002919e-02
429           	1.474955e-01	2.605810e-02	3.033150e-02
430           	1.459992e-01	2.551969e-02	3.051980e-02
431           	1.455173e-01	2.501772e-02	3.071221e-02
432           	1.449250e-01	2.452999e-02	3.093601e-02
433           	1.453516e-01	2.405895e-02	3.118340e-02
434           	1.449292e-01	2.358673e-02	3.139247e-02
435           	1.433752e-01	2.310597e-02	3.160323e-02
436           	1.421619e-01	2.261425e-02	3.177188e-02
437           	1.405728e-01	2.213153e-02	3.194040e-02
438           	1.398577e-01	2.165933e-02	3.211466e-02
439           	1.390558e-01	2.120869e-02	3.229450e-02
440           	1.376691e-01	2.075541e-02	3.241832e-02
441           	1.361967e-01	2.028245e-02	3.247490e-02
442           	1.346686e-01	1.978692e-02	3.247752e-02
443           	1.321428e-01	1.929178e-02	3.237264e-02
444           	1.290076e-01	1.879959e-02	3.233012e-02
445           	1.257180e-01	1.827617e-02	3.210646e-02
446           	1.220472e-01	1.778405e-02	3.174766e-02
447           	1.178777e-01	1.732626e-02	3.119470e-02
448           	1.143122e-01	1.689851e-02	3.066491e-02
449           	1.100494e-01	1.650921e-02	2.999210e-02
450           	1.057539e-01	1.614163e-02	2.927312e-02
451           	1.006470e-01	1.580260e-02	2.850242e-02
452           	9.666614e-02	1.547365e-02	2.779424e-02
453           	9.308717e-02	1.519509e-02	2.711047e-02
454           	9.006973e-02	1.493124e-02	2.640046e-02
455           	8.749095e-02	1.467932e-02	2.574937e-02
456           	8.542328e-02	1.441965e-02	2.511708e-02
457           	8.229725e-02	1.417281e-02	2.453084e-02
458           	7.982683e-02	1.391754e-02	2.399831e-02
459           	7.765188e-02	1.368053e-02	2.353412e-02
460           	7.589870e-02	1.346810e-02	2.317758e-02
461           	7.347786e-02	1.328194e-02	2.291990e-02
462           	7.054767e-02	1.309454e-02	2.276247e-02
463           	6.851728e-02	1.292621e-02	2.272937e-02
464           	6.696350e-02	1.278398e-02	2.282700e-02
465           	6.522116e-02	1.266886e-02	2.302433e-02
466           	6.365764e-02	1.256697e-02	2.326367e-02
467           	6.411672e-02	1.248064e-02	2.349500e-02
468           	6.429162e-02	1.240430e-02	2.375417e-02
469           	6.505125e-02	1.235143e-02	2.402621e-02
470           	6.716311e-02	1.230759e-02	2.428533e-02
471           	6.935797e-02	1.226451e-02	2.453865e-02
472           	7.207983e-02	1.223832e-02	2.478652e-02
473           	7.501388e-02	1.221614e-02	2.503131e-02
474           	7.784115e-02	1.220722e-02	2.523527e-02
475           	8.111243e-02	1.221013e-02	2.546654e-02
476           	8.472675e-02	1.222694e-02	2.570549e-02
477           	8.897872e-02	1.226680e-02	2.597381e-02
478           	9.331279e-02	1.232590e-02	2.624061e-02
479           	9.711235e-02	1.242024e-02	2.655988e-02
480           	9.815757e-02	1.254924e-02	2.689563e-02
481           	9.960057e-02	1.271104e-02	2.726435e-02
482           	1.011765e-01	1.288395e-02	2.768460e-02
483           	1.038165e-01	1.308357e-02	2.816899e-02
484           	1.051144e-01	1.328855e-02	2.874639e-02
485           	1.072217e-01	1.351931e-02	2.941611e-02
486           	1.084305e-01	1.376909e-02	3.014474e-02
487           	1.089389e-01	1.402965e-02	3.090523e-02
488           	1.101340e-01	1.429936e-02	3.163334e-02
489           	1.109537e-01	1.460040e-02	3.236071e-02
490           	1.117985e-01	1.490737e-02	3.305560e-02
491           	1.125541e-01	1.524510e-02	3.369063e-02
492           	1.133679e-01	1.558793e-02	3.423703e-02
493           	1.142375e-01	1.595197e-02	3.467138e-02
494           	1.144543e-01	1.631491e-02	3.498676e-02
495           	1.138930e-01	1.671328e-02	3.517753e-02
496           	1.131459e-01	1.711225e-02	3.522713e-02
497           	1.118996e-01	1.754039e-02	3.523248e-02
498           	1.111416e-01	1.796849e-02	3.515723e-02
499           	1.103703e-01	1.839317e-02	3.502411e-02
500           	1.095573e-01	1.887584e-02	3.491127e-02
